"user.id","age"
2,22
8,22
9,18
10,23
11,22
13,18
20,19
26,22
27,19
29,22
31,20
33,22
35,21
36,24
38,19
48,23
49,19
53,20
54,17
59,20
66,23
68,22
72,18
76,24
83,24
89,24
90,21
91,17
94,22
95,22
96,20
101,17
105,21
108,23
115,22
119,20
120,20
123,23
124,24
126,22
134,19
137,22
140,21
142,22
144,23
145,22
146,21
147,24
154,24
155,20
157,19
166,24
167,20
169,18
172,18
175,23
183,21
184,20
185,19
188,22
194,18
200,23
204,16
216,17
217,19
221,22
222,24
223,16
229,16
230,23
232,16
236,20
240,23
242,22
246,24
247,19
250,23
260,20
263,23
265,17
267,16
270,22
271,20
273,17
275,22
276,22
277,21
282,23
283,22
288,21
289,24
290,17
298,22
300,19
303,23
304,19
305,23
306,22
307,18
312,18
320,24
321,24
323,16
325,17
327,22
330,21
331,17
332,17
333,17
334,17
339,19
341,24
342,23
354,20
355,23
364,23
365,19
370,20
378,17
379,20
387,16
392,23
401,22
402,17
406,21
408,21
409,22
410,20
411,17
413,16
416,20
417,17
421,18
424,20
426,20
430,21
432,19
433,20
434,17
435,20
436,24
440,24
446,17
451,24
452,23
453,24
454,20
458,22
462,19
465,18
466,24
468,22
470,18
471,21
477,22
480,22
485,18
486,21
488,16
496,23
502,24
503,22
504,20
505,24
506,22
507,19
513,19
515,22
516,19
517,23
521,21
526,16
529,17
530,16
534,16
536,22
538,17
542,24
546,17
552,22
561,23
563,20
564,21
569,16
572,18
574,22
577,19
578,17
584,19
587,20
588,18
589,17
596,24
597,24
598,16
602,20
604,19
607,18
609,19
613,20
617,22
620,20
624,18
626,17
633,17
639,18
640,20
646,19
647,23
650,23
662,21
665,21
666,19
670,18
671,24
673,17
681,18
682,19
684,21
686,18
702,20
703,23
710,16
714,24
715,21
716,23
717,17
718,24
722,22
723,17
726,23
734,23
736,19
737,17
739,20
740,23
749,19
755,21
759,24
760,19
761,24
762,24
763,16
764,21
766,21
767,23
768,17
769,24
770,20
771,19
772,22
774,24
775,23
778,17
779,17
780,22
784,20
785,22
787,18
788,22
790,17
795,19
797,21
800,23
801,24
807,19
808,22
809,23
810,16
811,23
822,23
824,21
827,22
828,17
830,22
832,16
834,19
845,18
849,23
856,22
858,23
861,21
864,18
867,20
873,17
877,21
882,22
886,19
887,21
890,18
895,20
903,19
907,18
919,23
923,24
931,22
932,16
936,16
948,24
950,23
952,21
954,17
956,19
961,24
962,16
964,17
967,24
969,22
970,20
971,23
972,24
973,20
976,16
977,21
984,19
988,17
989,20
991,23
996,19
997,17
1001,17
1002,17
1005,23
1008,24
1009,17
1014,22
1016,18
1017,21
1018,23
1019,16
1022,17
1025,21
1030,23
1031,24
1034,19
1036,22
1037,18
1043,19
1044,18
1048,23
1051,21
1060,23
1062,20
1066,21
1068,23
1070,23
1072,20
1075,19
1077,23
1078,17
1079,22
1080,18
1084,19
1085,17
1086,22
1087,19
1090,18
1092,19
1094,18
1098,21
1102,22
1103,18
1107,24
1109,17
1110,22
1115,21
1119,24
1123,17
1127,24
1142,22
1143,22
1150,24
1151,17
1156,20
1162,24
1164,17
1165,16
1166,22
1167,21
1170,23
1172,17
1175,22
1179,17
1181,22
1183,22
1185,16
1187,21
1189,24
1190,16
1191,21
1195,21
1196,22
1208,24
1216,23
1217,16
1219,17
1226,19
1229,17
1230,17
1231,23
1233,21
1235,23
1237,17
1238,21
1239,24
1246,20
1247,17
1258,16
1263,20
1274,21
1283,23
1293,23
1295,21
1298,20
1299,19
1303,23
1304,18
1306,23
1311,21
1315,24
1319,16
1329,23
1330,22
1331,23
1332,24
1335,17
1338,18
1343,17
1347,19
1354,17
1359,21
1360,19
1363,22
1364,17
1365,23
1377,17
1381,24
1382,17
1384,17
1386,23
1393,20
1395,17
1398,23
1400,17
1406,22
1407,21
1408,17
1412,20
1415,24
1422,24
1423,23
1426,17
1429,21
1432,24
1437,21
1442,24
1450,24
1458,19
1464,19
1470,20
1471,18
1472,22
1476,24
1478,21
1479,18
1480,19
1481,17
1483,17
1486,20
1489,24
1490,22
1493,24
1494,17
1501,22
1503,23
1511,17
1521,17
1525,23
1526,24
1531,18
1536,22
1538,20
1547,23
1549,24
1556,20
1557,21
1573,24
1576,16
1580,17
1583,21
1585,24
1587,23
1588,17
1589,24
1591,19
1594,21
1596,22
1597,17
1615,23
1618,23
1619,24
1623,22
1626,16
1634,17
1639,19
1641,16
1643,23
1644,16
1645,24
1647,23
1649,22
1652,19
1653,16
1654,17
1658,19
1659,17
1661,18
1662,17
1667,22
1669,19
1671,21
1675,23
1680,19
1682,24
1683,23
1684,22
1686,16
1687,19
1689,24
1690,16
1692,17
1693,24
1697,19
1700,24
1701,19
1702,17
1704,23
1708,24
1714,17
1715,24
1716,21
1721,21
1723,17
1724,18
1731,24
1732,18
1734,20
1735,18
1739,17
1742,24
1746,23
1748,17
1750,17
1754,23
1757,18
1758,20
1760,23
1769,23
1774,22
1776,22
1780,18
1781,21
1783,24
1785,16
1786,20
1788,21
1789,17
1795,22
1796,18
1798,21
1799,20
1803,19
1805,16
1807,18
1809,24
1811,17
1819,22
1820,21
1826,22
1829,20
1833,24
1837,24
1839,23
1842,17
1844,20
1849,18
1850,24
1852,23
1854,20
1858,24
1859,24
1863,22
1864,23
1865,20
1866,17
1867,21
1869,19
1871,18
1876,24
1877,18
1883,18
1887,23
1891,23
1893,17
1894,17
1895,24
1898,24
1900,20
1906,22
1908,21
1909,21
1910,23
1917,22
1918,19
1922,18
1923,19
1929,17
1930,22
1932,24
1933,16
1939,20
1949,17
1963,18
1967,17
1968,17
1977,16
1983,21
1992,22
1994,24
2007,17
2011,24
2014,20
2018,24
2019,22
2021,21
2023,18
2025,18
2028,20
2032,17
2035,24
2036,21
2038,16
2039,21
2040,18
2042,24
2044,22
2050,21
2054,24
2055,22
2059,18
2060,18
2061,17
2062,22
2066,21
2067,24
2068,18
2069,21
2075,21
2076,23
2080,22
2082,17
2083,23
2085,19
2087,23
2088,24
2091,22
2092,22
2104,20
2105,19
2111,22
2113,17
2115,24
2120,17
2123,18
2124,24
2126,17
2127,18
2129,18
2134,21
2135,19
2139,17
2143,17
2154,22
2156,17
2160,17
2161,20
2166,24
2173,23
2178,17
2182,19
2183,24
2189,20
2191,17
2192,20
2193,23
2194,20
2196,22
2198,24
2199,24
2200,20
2207,24
2212,19
2216,17
2220,21
2225,17
2226,23
2227,20
2229,22
2232,24
2237,24
2240,21
2241,24
2243,16
2246,16
2249,22
2251,20
2254,24
2255,17
2258,21
2259,23
2261,20
2263,17
2267,20
2271,22
2274,24
2277,19
2282,19
2283,18
2285,23
2287,23
2291,24
2293,24
2300,17
2310,24
2313,23
2316,20
2320,18
2322,21
2324,18
2327,22
2330,24
2333,21
2335,18
2337,18
2338,18
2339,24
2341,23
2343,18
2344,23
2360,18
2363,23
2370,22
2371,21
2372,20
2374,23
